City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Comodoro Rivadavia,AR,2021-12-27 23:52:07,-45.8667,-67.5,67.86,64,0,14.97
254,Gat,IL,2021-12-27 23:52:00,31.61,34.7642,57.4,62,67,3.6
255,Prince Rupert,CA,2021-12-27 23:52:08,54.3161,-130.3201,22.69,85,90,3.44
256,Ahipara,NZ,2021-12-27 23:52:09,-35.1667,173.1667,67.95,88,100,3.04
257,Natal,BR,2021-12-27 23:49:48,-5.795,-35.2094,82.62,78,75,8.05
258,Provideniya,RU,2021-12-27 23:52:10,64.3833,-173.3,3.36,85,90,35.79
259,Wakkanai,JP,2021-12-27 23:52:10,45.4094,141.6739,15.78,92,90,4.61
260,Lompoc,US,2021-12-27 23:47:40,34.6391,-120.4579,55.85,87,90,9.22
261,Nouadhibou,MR,2021-12-27 23:52:11,20.931,-17.0347,67.57,69,4,13.85
262,Kitimat,CA,2021-12-27 23:52:11,54.0524,-128.6534,5.92,77,64,3.71
263,Bathsheba,BB,2021-12-27 23:52:12,13.2167,-59.5167,77.61,73,20,11.5
264,Lipkovo,MK,2021-12-27 23:52:12,42.1564,21.5853,48.29,93,88,1.9
265,Saint George,US,2021-12-27 23:52:13,37.1041,-113.5841,49.62,45,90,3.0
266,Akalgarh,IN,2021-12-27 23:52:13,29.8167,75.8833,52.09,60,100,5.66
267,Pangnirtung,CA,2021-12-27 23:52:14,66.1451,-65.7125,3.2,66,1,3.44
268,Fortuna,US,2021-12-27 23:52:14,40.5982,-124.1573,41.67,91,90,0.0
269,Iqaluit,CA,2021-12-27 23:52:15,63.7506,-68.5145,11.93,92,90,4.61
270,Inirida,CO,2021-12-27 23:52:15,3.8653,-67.9239,79.03,80,81,1.23
271,Inverell,AU,2021-12-27 23:52:15,-29.7833,151.1167,69.67,66,99,4.0
272,Kamyshin,RU,2021-12-27 23:52:16,50.0983,45.416,-5.84,99,26,4.9
273,Arinos,BR,2021-12-27 23:52:16,-15.9169,-46.1056,69.1,97,21,3.76
274,Port Blair,IN,2021-12-27 23:53:17,11.6667,92.75,78.94,77,12,11.48
275,Comarapa,BO,2021-12-27 23:53:17,-17.9,-64.4833,58.59,84,71,2.57
276,Birao,CF,2021-12-27 23:53:18,10.2849,22.7882,70.61,24,50,5.66
277,Kieta,PG,2021-12-27 23:53:18,-6.2167,155.6333,87.28,65,83,3.09
278,Rocha,UY,2021-12-27 23:49:26,-34.4833,-54.3333,59.18,88,0,3.18
279,Oil City,US,2021-12-27 23:53:19,41.4339,-79.7064,41.86,100,90,4.61
280,Bonthe,SL,2021-12-27 23:53:19,7.5264,-12.505,80.49,78,100,6.08
281,Lavrentiya,RU,2021-12-27 23:53:20,65.5833,-171.0,-1.77,97,100,15.59
282,Ribeira Grande,PT,2021-12-27 23:53:20,38.5167,-28.7,65.59,89,99,34.94
283,Gannavaram,IN,2021-12-27 23:53:21,16.5333,80.8,66.24,94,5,3.49
284,Davidson,US,2021-12-27 23:53:21,36.1501,-86.7833,68.36,81,90,8.01
285,Mega,ET,2021-12-27 23:53:22,4.05,38.3,62.51,52,89,13.56
286,Ust-Maya,RU,2021-12-27 23:53:22,60.4167,134.5333,-52.55,100,99,1.39
287,Nara,JP,2021-12-27 23:53:22,34.6851,135.8049,40.96,56,43,8.95
288,Dangriga,BZ,2021-12-27 23:53:23,16.9692,-88.2321,80.56,80,0,4.74
289,Killybegs,IE,2021-12-27 23:53:23,54.6333,-8.45,43.45,90,100,5.99
290,Port Keats,AU,2021-12-27 23:53:24,-14.25,129.55,82.4,59,100,8.86
291,Darhan,MN,2021-12-27 23:53:24,49.4867,105.9228,-0.15,86,88,4.38
